Age	CMRGlu_WB_Manu	CMRO2_WB_Manu	CBF_WB_Manu
20	32.3	153.8	58.4
21	31.7	153.0	57.6
22	31.2	152.3	56.8
23	30.7	151.6	56.1
24	30.2	151.0	55.5
25	29.8	150.5	54.9
26	29.4	149.9	54.4
27	29.1	149.4	53.9
28	28.7	149.0	53.5
29	28.4	148.6	53.1
30	28.1	148.2	52.7
31	27.9	147.8	52.3
32	27.6	147.5	51.9
33	27.4	147.2	51.6
34	27.2	146.9	51.3
35	27.0	146.6	51.0
36	26.8	146.3	50.8
37	26.6	146.1	50.5
38	26.4	145.8	50.3
39	26.2	145.6	50.0
40	26.1	145.4	49.8
41	25.9	145.2	49.6
42	25.8	145.0	49.4
43	25.6	144.8	49.2
44	25.5	144.6	49.0
45	25.4	144.4	48.9
46	25.2	144.2	48.7
47	25.1	144.1	48.5
48	25.0	144.0	48.4
49	24.9	143.9	48.2
50	24.8	143.7	48.1
51	24.7	143.6	48.0
52	24.6	143.4	47.8
53	24.5	143.3	47.7
54	24.4	143.2	47.6
55	24.3	143.1	47.5
56	24.3	143.0	47.4
57	24.2	142.9	47.3
58	24.1	142.8	47.1
59	24.0	142.7	47.0
60	24.0	142.6	47.0
61	23.9	142.5	46.9
62	23.8	142.4	46.8
63	23.8	142.3	46.7
64	23.7	142.2	46.6
65	23.7	142.1	46.5
66	23.6	142.0	46.4
67	23.5	142.0	46.4
68	23.5	141.9	46.3
69	23.4	141.8	46.2
70	23.4	141.8	46.1
71	23.3	141.7	46.1
72	23.3	141.6	46.0
73	23.2	141.6	45.9
74	23.2	141.5	45.9
75	23.1	141.4	45.8
76	23.1	141.4	45.7
77	23.1	141.3	45.7
78	23.0	141.3	45.6
79	23.0	141.2	45.6
80	22.9	141.1	45.5
81	22.9	141.1	45.5
82	22.8	141.0	45.4
83	22.8	141.0	45.4
84	22.7	140.9	45.3
