1	-25	-93	-2	LFovea-LO
2	-33	-86	10	LLO
3	-40	-78	-9	LMT
4	26	-90	26	RV3A
5	28	-89	11	RLO-RV3A
6	26	-87	-9	Rfovea
7	34	-88	-4	RLO
8	35	-79	0	RLO
9	27	-84	-14	Rfovea-V4v
10	42	-80	4	RLOMT
11	43	-75	-11	RLOMT
12	37	-62	-11	RVOIT
13	-2	-91	8	LV1d-V2d
14	-13	-93	18	LV3-V3A
15	-14	-93	30	LV3A
16	-23	-56	-2	LPOSd
17	-22	-71	6	LV7
18	-8	-88	-7	LV1v
19	-11	-74	-6	LVP
20	-7	-86	36	LPOSv
21	6	-77	11	RV1d
22	14	-86	8	RV2d
23	20	-92	18	RV3-V3A
24	11	-85	32	RV3-V3A
25	18	-76	26	RPOSd
26	10	-77	-5	RV1v-RV2v
27	17	-64	-5	RVP
28	23	-74	-10	RV4v
29	20	-50	-3	RPOSv
30	-44	0	15	LFO
31	-49	-5	32	LPrCe
32	-19	-8	57	LFEF
33	-27	-10	47	LdPrCe
34	-53	-29	37	LvPoCe-SMG
35	-45	-34	45	LdPoCe
36	-32	-42	45	LaIPS
37	-40	-42	-19	LITG
38	-22	-53	52	LmIPS
39	-31	-80	18	LvIPS
40	-43	-65	-2	LMT
41	-16	-65	49	LpIPS-SPL
42	39	30	12	RIFG
43	45	-3	34	RPrCe
44	23	-8	55	RFEF
45	53	-28	36	RvPoCe-SMG
46	46	-32	50	RdPoCe
47	28	-49	52	RmIPS
48	46	-51	-14	RITG
49	18	-59	53	RpIPS-SPLd
50	47	-61	0	RMT
51	20	-67	43	RpIPS-SPL
52	26	-69	30	RvIPSd
53	35	-76	23	RvIPS
54	1	-10	49	SMA
55	-24	-20	70	LdPrCe1
56	-24	-32	63	LdPoCe
57	-10	-12	60	LSMA1
58	-7	-44	56	LdmSPL
59	-18	-36	55	LdCS
60	-42	-17	46	LcPrCe
61	-32	-25	46	LCS
62	-12	-20	40	LSMA2
63	-54	-23	37	LvPoCe
64	-57	-8	21	LvCS
65	-51	-19	20	LS2
66	-44	-9	15	LmI
67	-31	-14	9	LmI2
68	14	-57	-19	rcbl
69	24	-34	60	RdPoCe
70	11	-46	59	RSPL-preCun
71	22	-18	58	RdPrCe
72	9	-43	53	RmdSPL
73	10	-33	52	RSMA
74	37	-18	48	RCS
75	54	-18	37	RvPoCe
76	56	-2	23	RvCS
77	31	-13	8	RmI2
78	-13	-55	-16	lcbl
79	-30	0	15	LmI3
80	-38	-4	11	LmI
81	-37	-8	3	LmI
82	-35	-20	14	LpI
83	-51	-22	5	LmSTG
84	-56	-33	16	LSTG1
85	-29	-34	16	LpI
86	-43	-34	11	LSTG2
87	36	0	12	RmI
88	38	-6	4	RmI
89	50	-12	17	RmI
90	59	-19	11	RSTG2
91	38	-19	12	RpI
92	34	-24	17	RpI
93	53	-33	18	RSTG1
94	-1	10	46	dACCmsFC
95	-12	-15	7	LaTha
96	-33	13	9	LaI
97	8	3	51	RpreSMA
98	10	-15	8	RaTha
99	36	16	4	RaIfO
100	-33	17	-5	LAI
101	-44	10	8	LvIFG
102	-10	-32	43	LPC
103	-57	-48	32	LSMG
104	27	50	23	RaPFC
105	42	28	1	RIFG-AI
106	4	18	24	RAC
107	39	11	21	RvPrCe
108	46	11	9	RvIFG
109	30	8	-5	RAI
110	12	5	61	RMFC
111	5	-22	40	RPC
112	52	-46	29	RSMG
113	54	-53	11	RSTG
114	-48	30	-2	LIFG
115	-44	25	-2	lifg1
116	-50	19	9	lifg2
117	-45	14	21	lmfg
118	-7	9	60	lmfc4
119	-54	-23	-3	lstg1
120	-56	-33	3	lstg2
121	-48	-44	3	lstg3
122	-52	-54	12	lstg4
123	47	25	-4	rifg1
124	53	23	7	rifg2
125	44	-36	6	rstg2
126	61	-43	8	rstg1
127	0	-29	30	mCing
128	-28	51	15	LaPFC
129	-43	22	34	LdlPFC
130	-41	3	36	LFC
131	-51	-51	36	LIPL
132	-31	-59	42	LIPS
133	-9	-72	37	LprCu
134	43	22	34	RdlPFC
135	39	1	42	RdPrCe
136	51	-47	42	RIPL
137	30	-61	39	RIPS
138	10	-69	39	RprCu
139	2	55	9	RmPFC2
140	-1	44	-2	LAC1
141	3	43	16	RmPFC1
142	-4	42	45	LmSFG3
143	-2	40	27	LmPFC2
144	-5	31	-4	LAC3
145	-3	28	55	LmSFG2
146	4	24	-10	RAC2
147	0	-32	36	RPC2
148	0	-65	31	RPreCun
149	-14	53	13	LMFG2
150	-9	36	8	LAC2
151	-19	22	52	LSFG
152	-6	16	63	LmSFG1
153	-37	12	48	LMFG
154	-41	7	-31	LITG
155	-23	-24	-11	Lhip
156	-57	-26	-12	LSTS
157	-8	-51	29	LpreCunPC
158	-41	-62	19	lag
159	-43	-63	32	LAG
160	26	-78	-28	Rcbl
161	13	40	40	RSFG2
162	17	24	51	RSFG
163	42	10	-29	RMTG2
164	52	-1	-25	RMTG1
165	24	-20	-13	Rhip
166	59	-25	-12	RSTS
167	8	-51	29	RPCPreCun
168	45	-66	40	RAG
169	-25	-77	-33	Lcbl
